ID,age,blockcollect,bonus,condition,correctcollect,feedback,gender,keyassignment,levinstein_acc,patternawareness,timecollect,trialcollect,traincondition
1.0,30.0,train,3.84375,m2,0.25,,1.0,"['K', 'L', 'D', 'S', 'F', 'J']",0.4166666666666667,"Yes, they were often repeated or alternated",30373.0,1.0,m2
1.0,30.0,train,3.84375,m2,0.9166666666666666,,1.0,"['K', 'L', 'D', 'S', 'F', 'J']",0.9166666666666666,"Yes, they were often repeated or alternated",13888.0,2.0,m2
1.0,30.0,train,3.84375,m2,0.8333333333333334,,1.0,"['K', 'L', 'D', 'S', 'F', 'J']",0.8333333333333334,"Yes, they were often repeated or alternated",11389.0,3.0,m2
1.0,30.0,train,3.84375,m2,1.0,,1.0,"['K', 'L', 'D', 'S', 'F', 'J']",1.0,"Yes, they were often repeated or alternated",8363.0,4.0,m2
1.0,30.0,train,3.84375,m2,0.6666666666666666,,1.0,"['K', 'L', 'D', 'S', 'F', 'J']",0.6666666666666666,"Yes, they were often repeated or alternated",9780.0,5.0,m2
1.0,30.0,train,3.84375,m2,0.5833333333333334,,1.0,"['K', 'L', 'D', 'S', 'F', 'J']",0.6666666666666666,"Yes, they were often repeated or alternated",11265.0,6.0,m2
1.0,30.0,train,3.84375,m2,1.0,,1.0,"['K', 'L', 'D', 'S', 'F', 'J']",1.0,"Yes, they were often repeated or alternated",10864.0,7.0,m2
1.0,30.0,train,3.84375,m2,1.0,,1.0,"['K', 'L', 'D', 'S', 'F', 'J']",1.0,"Yes, they were often repeated or alternated",8225.0,8.0,m2
1.0,30.0,train,3.84375,m2,1.0,,1.0,"['K', 'L', 'D', 'S', 'F', 'J']",1.0,"Yes, they were often repeated or alternated",3210.0,9.0,m2
1.0,30.0,train,3.84375,m2,1.0,,1.0,"['K', 'L', 'D', 'S', 'F', 'J']",1.0,"Yes, they were often repeated or alternated",3105.0,10.0,m2
1.0,30.0,train,3.84375,m2,0.4166666666666667,,1.0,"['K', 'L', 'D', 'S', 'F', 'J']",0.5,"Yes, they were often repeated or alternated",13327.0,11.0,m2
1.0,30.0,train,3.84375,m2,1.0,,1.0,"['K', 'L', 'D', 'S', 'F', 'J']",1.0,"Yes, they were often repeated or alternated",3239.0,12.0,m2
1.0,30.0,train,3.84375,m2,1.0,,1.0,"['K', 'L', 'D', 'S', 'F', 'J']",1.0,"Yes, they were often repeated or alternated",3474.0,13.0,m2
1.0,30.0,train,3.84375,m2,1.0,,1.0,"['K', 'L', 'D', 'S', 'F', 'J']",1.0,"Yes, they were often repeated or alternated",3104.0,14.0,m2
1.0,30.0,train,3.84375,m2,1.0,,1.0,"['K', 'L', 'D', 'S', 'F', 'J']",1.0,"Yes, they were often repeated or alternated",2486.0,15.0,m2
1.0,30.0,train,3.84375,m2,0.9166666666666666,,1.0,"['K', 'L', 'D', 'S', 'F', 'J']",0.9166666666666666,"Yes, they were often repeated or alternated",5868.0,16.0,m2
1.0,30.0,train,3.84375,m2,1.0,,1.0,"['K', 'L', 'D', 'S', 'F', 'J']",1.0,"Yes, they were often repeated or alternated",2215.0,17.0,m2
1.0,30.0,train,3.84375,m2,0.8333333333333334,,1.0,"['K', 'L', 'D', 'S', 'F', 'J']",0.8333333333333334,"Yes, they were often repeated or alternated",5057.0,18.0,m2
1.0,30.0,train,3.84375,m2,1.0,,1.0,"['K', 'L', 'D', 'S', 'F', 'J']",1.0,"Yes, they were often repeated or alternated",4381.0,19.0,m2
1.0,30.0,train,3.84375,m2,1.0,,1.0,"['K', 'L', 'D', 'S', 'F', 'J']",1.0,"Yes, they were often repeated or alternated",2974.0,20.0,m2
1.0,30.0,train,3.84375,m2,1.0,,1.0,"['K', 'L', 'D', 'S', 'F', 'J']",1.0,"Yes, they were often repeated or alternated",2263.0,21.0,m2
1.0,30.0,train,3.84375,m2,1.0,,1.0,"['K', 'L', 'D', 'S', 'F', 'J']",1.0,"Yes, they were often repeated or alternated",3419.0,22.0,m2
1.0,30.0,train,3.84375,m2,1.0,,1.0,"['K', 'L', 'D', 'S', 'F', 'J']",1.0,"Yes, they were often repeated or alternated",2753.0,23.0,m2
1.0,30.0,train,3.84375,m2,1.0,,1.0,"['K', 'L', 'D', 'S', 'F', 'J']",1.0,"Yes, they were often repeated or alternated",3687.0,24.0,m2
1.0,30.0,train,3.84375,m2,1.0,,1.0,"['K', 'L', 'D', 'S', 'F', 'J']",1.0,"Yes, they were often repeated or alternated",2454.0,25.0,m2
1.0,30.0,train,3.84375,m2,1.0,,1.0,"['K', 'L', 'D', 'S', 'F', 'J']",1.0,"Yes, they were often repeated or alternated",2500.0,26.0,m2
1.0,30.0,train,3.84375,m2,1.0,,1.0,"['K', 'L', 'D', 'S', 'F', 'J']",1.0,"Yes, they were often repeated or alternated",1684.0,27.0,m2
1.0,30.0,train,3.84375,m2,1.0,,1.0,"['K', 'L', 'D', 'S', 'F', 'J']",1.0,"Yes, they were often repeated or alternated",2101.0,28.0,m2
1.0,30.0,train,3.84375,m2,1.0,,1.0,"['K', 'L', 'D', 'S', 'F', 'J']",1.0,"Yes, they were often repeated or alternated",3336.0,29.0,m2
1.0,30.0,train,3.84375,m2,0.6666666666666666,,1.0,"['K', 'L', 'D', 'S', 'F', 'J']",0.8333333333333334,"Yes, they were often repeated or alternated",3230.0,30.0,m2
1.0,30.0,train,3.84375,m2,1.0,,1.0,"['K', 'L', 'D', 'S', 'F', 'J']",1.0,"Yes, they were often repeated or alternated",2174.0,31.0,m2
1.0,30.0,train,3.84375,m2,1.0,,1.0,"['K', 'L', 'D', 'S', 'F', 'J']",1.0,"Yes, they were often repeated or alternated",1671.0,32.0,m2
1.0,30.0,train,3.84375,m2,1.0,,1.0,"['K', 'L', 'D', 'S', 'F', 'J']",1.0,"Yes, they were often repeated or alternated",2238.0,33.0,m2
1.0,30.0,train,3.84375,m2,1.0,,1.0,"['K', 'L', 'D', 'S', 'F', 'J']",1.0,"Yes, they were often repeated or alternated",2756.0,34.0,m2
1.0,30.0,train,3.84375,m2,1.0,,1.0,"['K', 'L', 'D', 'S', 'F', 'J']",1.0,"Yes, they were often repeated or alternated",2861.0,35.0,m2
1.0,30.0,train,3.84375,m2,0.0,,1.0,"['K', 'L', 'D', 'S', 'F', 'J']",0.4166666666666667,"Yes, they were often repeated or alternated",2532.0,36.0,m2
1.0,30.0,train,3.84375,m2,1.0,,1.0,"['K', 'L', 'D', 'S', 'F', 'J']",1.0,"Yes, they were often repeated or alternated",4050.0,37.0,m2
1.0,30.0,train,3.84375,m2,1.0,,1.0,"['K', 'L', 'D', 'S', 'F', 'J']",1.0,"Yes, they were often repeated or alternated",3700.0,38.0,m2
1.0,30.0,train,3.84375,m2,1.0,,1.0,"['K', 'L', 'D', 'S', 'F', 'J']",1.0,"Yes, they were often repeated or alternated",2888.0,39.0,m2
1.0,30.0,train,3.84375,m2,1.0,,1.0,"['K', 'L', 'D', 'S', 'F', 'J']",1.0,"Yes, they were often repeated or alternated",3288.0,40.0,m2
1.0,30.0,test,3.84375,m2,1.0,,1.0,"['K', 'L', 'D', 'S', 'F', 'J']",1.0,"Yes, they were often repeated or alternated",3431.0,1.0,m2
1.0,30.0,test,3.84375,m2,1.0,,1.0,"['K', 'L', 'D', 'S', 'F', 'J']",1.0,"Yes, they were often repeated or alternated",2454.0,2.0,m2
1.0,30.0,test,3.84375,m2,0.8333333333333334,,1.0,"['K', 'L', 'D', 'S', 'F', 'J']",0.8333333333333334,"Yes, they were often repeated or alternated",5687.0,3.0,m2
1.0,30.0,test,3.84375,m2,1.0,,1.0,"['K', 'L', 'D', 'S', 'F', 'J']",1.0,"Yes, they were often repeated or alternated",3168.0,4.0,m2
1.0,30.0,test,3.84375,m2,1.0,,1.0,"['K', 'L', 'D', 'S', 'F', 'J']",1.0,"Yes, they were often repeated or alternated",2684.0,5.0,m2
1.0,30.0,test,3.84375,m2,1.0,,1.0,"['K', 'L', 'D', 'S', 'F', 'J']",1.0,"Yes, they were often repeated or alternated",2030.0,6.0,m2
1.0,30.0,test,3.84375,m2,1.0,,1.0,"['K', 'L', 'D', 'S', 'F', 'J']",1.0,"Yes, they were often repeated or alternated",1688.0,7.0,m2
1.0,30.0,test,3.84375,m2,1.0,,1.0,"['K', 'L', 'D', 'S', 'F', 'J']",1.0,"Yes, they were often repeated or alternated",2059.0,8.0,m2
1.0,30.0,test,3.84375,m1,0.6666666666666666,,1.0,"['K', 'L', 'D', 'S', 'F', 'J']",0.6666666666666666,"Yes, they were often repeated or alternated",6479.0,1.0,m2
1.0,30.0,test,3.84375,m1,0.3333333333333333,,1.0,"['K', 'L', 'D', 'S', 'F', 'J']",0.5,"Yes, they were often repeated or alternated",6576.0,2.0,m2
1.0,30.0,test,3.84375,m1,0.5,,1.0,"['K', 'L', 'D', 'S', 'F', 'J']",0.5833333333333334,"Yes, they were often repeated or alternated",3711.0,3.0,m2
1.0,30.0,test,3.84375,m1,1.0,,1.0,"['K', 'L', 'D', 'S', 'F', 'J']",1.0,"Yes, they were often repeated or alternated",4324.0,4.0,m2
1.0,30.0,test,3.84375,m1,0.75,,1.0,"['K', 'L', 'D', 'S', 'F', 'J']",0.75,"Yes, they were often repeated or alternated",5445.0,5.0,m2
1.0,30.0,test,3.84375,m1,0.9166666666666666,,1.0,"['K', 'L', 'D', 'S', 'F', 'J']",0.9166666666666666,"Yes, they were often repeated or alternated",4347.0,6.0,m2
1.0,30.0,test,3.84375,m1,0.9166666666666666,,1.0,"['K', 'L', 'D', 'S', 'F', 'J']",0.9166666666666666,"Yes, they were often repeated or alternated",4366.0,7.0,m2
1.0,30.0,test,3.84375,m1,0.9166666666666666,,1.0,"['K', 'L', 'D', 'S', 'F', 'J']",0.9166666666666666,"Yes, they were often repeated or alternated",3359.0,8.0,m2
1.0,30.0,test,3.84375,ind,0.5,,1.0,"['K', 'L', 'D', 'S', 'F', 'J']",0.75,"Yes, they were often repeated or alternated",5344.0,1.0,m2
1.0,30.0,test,3.84375,ind,0.3333333333333333,,1.0,"['K', 'L', 'D', 'S', 'F', 'J']",0.5833333333333334,"Yes, they were often repeated or alternated",3788.0,2.0,m2
1.0,30.0,test,3.84375,ind,0.5833333333333334,,1.0,"['K', 'L', 'D', 'S', 'F', 'J']",0.6666666666666666,"Yes, they were often repeated or alternated",4600.0,3.0,m2
1.0,30.0,test,3.84375,ind,0.75,,1.0,"['K', 'L', 'D', 'S', 'F', 'J']",0.75,"Yes, they were often repeated or alternated",6164.0,4.0,m2
1.0,30.0,test,3.84375,ind,0.5833333333333334,,1.0,"['K', 'L', 'D', 'S', 'F', 'J']",0.6666666666666666,"Yes, they were often repeated or alternated",5011.0,5.0,m2
1.0,30.0,test,3.84375,ind,0.6666666666666666,,1.0,"['K', 'L', 'D', 'S', 'F', 'J']",0.75,"Yes, they were often repeated or alternated",3774.0,6.0,m2
1.0,30.0,test,3.84375,ind,0.75,,1.0,"['K', 'L', 'D', 'S', 'F', 'J']",0.75,"Yes, they were often repeated or alternated",3436.0,7.0,m2
1.0,30.0,test,3.84375,ind,0.8333333333333334,,1.0,"['K', 'L', 'D', 'S', 'F', 'J']",0.8333333333333334,"Yes, they were often repeated or alternated",3588.0,8.0,m2
2.0,50.0,train,3.9375,ind,0.6666666666666666,,1.0,"['D', 'L', 'K', 'S', 'J', 'F']",0.6666666666666666,yes,24384.0,1.0,ind
2.0,50.0,train,3.9375,ind,0.8333333333333334,,1.0,"['D', 'L', 'K', 'S', 'J', 'F']",0.8333333333333334,yes,7380.0,2.0,ind
2.0,50.0,train,3.9375,ind,1.0,,1.0,"['D', 'L', 'K', 'S', 'J', 'F']",1.0,yes,5547.0,3.0,ind
2.0,50.0,train,3.9375,ind,0.5,,1.0,"['D', 'L', 'K', 'S', 'J', 'F']",0.6666666666666666,yes,7694.0,4.0,ind
2.0,50.0,train,3.9375,ind,0.75,,1.0,"['D', 'L', 'K', 'S', 'J', 'F']",0.8333333333333334,yes,5398.0,5.0,ind
2.0,50.0,train,3.9375,ind,0.5,,1.0,"['D', 'L', 'K', 'S', 'J', 'F']",0.6666666666666666,yes,4970.0,6.0,ind
2.0,50.0,train,3.9375,ind,0.6666666666666666,,1.0,"['D', 'L', 'K', 'S', 'J', 'F']",0.75,yes,4530.0,7.0,ind
2.0,50.0,train,3.9375,ind,0.75,,1.0,"['D', 'L', 'K', 'S', 'J', 'F']",0.75,yes,4999.0,8.0,ind
2.0,50.0,train,3.9375,ind,0.6666666666666666,,1.0,"['D', 'L', 'K', 'S', 'J', 'F']",0.6666666666666666,yes,9790.0,9.0,ind
2.0,50.0,train,3.9375,ind,0.6666666666666666,,1.0,"['D', 'L', 'K', 'S', 'J', 'F']",0.75,yes,9191.0,10.0,ind
2.0,50.0,train,3.9375,ind,0.8333333333333334,,1.0,"['D', 'L', 'K', 'S', 'J', 'F']",0.8333333333333334,yes,3709.0,11.0,ind
2.0,50.0,train,3.9375,ind,0.5833333333333334,,1.0,"['D', 'L', 'K', 'S', 'J', 'F']",0.8333333333333334,yes,7680.0,12.0,ind
2.0,50.0,train,3.9375,ind,0.8333333333333334,,1.0,"['D', 'L', 'K', 'S', 'J', 'F']",0.8333333333333334,yes,3507.0,13.0,ind
2.0,50.0,train,3.9375,ind,0.25,,1.0,"['D', 'L', 'K', 'S', 'J', 'F']",0.5833333333333334,yes,4164.0,14.0,ind
2.0,50.0,train,3.9375,ind,0.5833333333333334,,1.0,"['D', 'L', 'K', 'S', 'J', 'F']",0.75,yes,5328.0,15.0,ind
2.0,50.0,train,3.9375,ind,0.75,,1.0,"['D', 'L', 'K', 'S', 'J', 'F']",0.75,yes,4521.0,16.0,ind
2.0,50.0,train,3.9375,ind,0.4166666666666667,,1.0,"['D', 'L', 'K', 'S', 'J', 'F']",0.5833333333333334,yes,6400.0,17.0,ind
2.0,50.0,train,3.9375,ind,0.75,,1.0,"['D', 'L', 'K', 'S', 'J', 'F']",0.75,yes,6066.0,18.0,ind
2.0,50.0,train,3.9375,ind,0.5833333333333334,,1.0,"['D', 'L', 'K', 'S', 'J', 'F']",0.6666666666666666,yes,5506.0,19.0,ind
