blockcollect,ID,condition,correctcollect,p,trialcollect
train,1,m1,0.5,0.00024411324500649462,1
train,1,m1,0.75,5.55823838642921e-06,2
train,1,m1,0.4166666666666667,2.2356206405500735e-06,3
train,1,m1,0.5,8.404922656282925e-06,4
train,1,m1,0.5,9.624552554484533e-06,5
train,1,m1,0.4166666666666667,1.8548234537391992e-06,6
train,1,m1,0.5833333333333334,1.9322629080821883e-06,7
train,1,m1,0.4166666666666667,3.114322878645404e-05,8
train,1,m1,0.3333333333333333,4.352649632820537e-05,9
train,1,m1,0.5,4.330411304360377e-05,10
train,1,m1,0.5,2.4454025814231822e-05,11
train,1,m1,1.0,4.7742597412703066e-05,12
train,1,m1,0.9166666666666666,0.0010129122713691929,13
train,1,m1,0.6666666666666666,0.0010414544445260213,14
train,1,m1,0.5833333333333334,0.0012495605686213746,15
train,1,m1,0.6666666666666666,0.0011159507924242468,16
train,1,m1,0.3333333333333333,0.0026813506911722235,17
train,1,m1,0.5833333333333334,0.00284960022238696,18
train,1,m1,0.5,0.003340888546641463,19
train,1,m1,0.5,0.003079640290804154,20
train,1,m1,0.5,0.007961586507034216,21
train,1,m1,0.5833333333333334,0.009703408692861935,22
train,1,m1,0.5833333333333334,0.0114829788568175,23
train,1,m1,0.3333333333333333,0.010760927080041527,24
train,1,m1,0.4166666666666667,0.012494522230715403,25
train,1,m1,0.9166666666666666,0.014260725295912284,26
train,1,m1,0.5833333333333334,0.016056410620812974,27
train,1,m1,0.6666666666666666,0.01507803953779676,28
train,1,m1,0.6666666666666666,0.016826802683464946,29
train,1,m1,1.0,0.01860132752559292,30
train,1,m1,0.5,0.02039906153712694,31
train,1,m1,0.5833333333333334,0.01919169772950712,32
train,1,m1,0.5,0.020943040940079902,33
train,1,m1,0.75,0.022714888567223892,34
train,1,m1,0.6666666666666666,0.024505124477571243,35
train,1,m1,0.5833333333333334,0.023093287653603377,36
train,1,m1,0.5833333333333334,0.024838556346639503,37
train,1,m1,1.0,0.026600245245742168,38
train,1,m1,0.5833333333333334,0.028376575630616768,39
train,1,m1,0.5,0.026782078748313187,40
test,1,m1,0.6666666666666666,0.028515381571149807,41
test,1,m1,0.4166666666666667,0.03026189833945241,42
test,1,m1,0.4166666666666667,0.03202011488504473,43
test,1,m1,1.0,0.03026226973320297,44
test,1,m1,0.5833333333333334,0.03197967228148551,45
test,1,m1,0.5833333333333334,0.033707747777724444,46
test,1,m1,0.6666666666666666,0.03544519214594992,47
test,1,m1,0.5,0.03354105442179962,48
test,1,m2,0.25,5.387950583557464e-08,49
test,1,m2,0.4166666666666667,1.0082575904557938e-07,50
test,1,m2,0.4166666666666667,9.280605698094554e-08,51
test,1,m2,0.5,8.141931807988548e-07,52
test,1,m2,0.5,7.271559957500855e-06,53
test,1,m2,0.4166666666666667,1.175526942872681e-05,54
test,1,m2,0.5,1.3969596792888343e-05,55
test,1,m2,0.5833333333333334,1.000564820066756e-05,56
test,1,ind,0.25,3.8513143365286236e-07,57
test,1,ind,0.4166666666666667,1.9454521988186426e-08,58
test,1,ind,0.3333333333333333,8.469665564621347e-08,59
test,1,ind,0.5,1.2070129398490555e-07,60
test,1,ind,0.6666666666666666,0.00012343282487125142,61
test,1,ind,0.5,1.1560835232627227e-07,62
test,1,ind,0.4166666666666667,7.433986273639176e-06,63
test,1,ind,0.6666666666666666,2.6765613634351656e-07,64
train,2,m1,0.5833333333333334,0.00024411324500649462,1
train,2,m1,0.5833333333333334,5.55823838642921e-06,2
train,2,m1,0.5,2.2356206405500735e-06,3
train,2,m1,0.4166666666666667,8.404922656282925e-06,4
train,2,m1,0.5,9.624552554484533e-06,5
train,2,m1,0.75,1.8548234537391992e-06,6
train,2,m1,0.6666666666666666,1.9322629080821883e-06,7
train,2,m1,0.4166666666666667,3.114322878645404e-05,8
train,2,m1,0.5,4.352649632820537e-05,9
train,2,m1,0.4166666666666667,4.330411304360377e-05,10
train,2,m1,0.4166666666666667,2.4454025814231822e-05,11
train,2,m1,0.25,4.7742597412703066e-05,12
train,2,m1,0.4166666666666667,0.0010129122713691929,13
train,2,m1,0.4166666666666667,0.0010414544445260213,14
train,2,m1,0.3333333333333333,0.0012495605686213746,15
train,2,m1,0.5,0.0011159507924242468,16
train,2,m1,0.6666666666666666,0.0026813506911722235,17
train,2,m1,0.5,0.00284960022238696,18
train,2,m1,0.5833333333333334,0.003340888546641463,19
train,2,m1,0.5,0.003079640290804154,20
train,2,m1,0.3333333333333333,0.007961586507034216,21
train,2,m1,0.4166666666666667,0.009703408692861935,22
train,2,m1,0.5,0.0114829788568175,23
train,2,m1,1.0,0.010760927080041527,24
train,2,m1,0.4166666666666667,0.012494522230715403,25
train,2,m1,0.3333333333333333,0.014260725295912284,26
train,2,m1,0.9166666666666666,0.016056410620812974,27
train,2,m1,0.5,0.01507803953779676,28
train,2,m1,0.75,0.016826802683464946,29
train,2,m1,0.9166666666666666,0.01860132752559292,30
train,2,m1,0.5,0.02039906153712694,31
train,2,m1,0.4166666666666667,0.01919169772950712,32
train,2,m1,1.0,0.020943040940079902,33
train,2,m1,1.0,0.022714888567223892,34
train,2,m1,0.6666666666666666,0.024505124477571243,35
train,2,m1,0.25,0.023093287653603377,36
train,2,m1,0.5,0.024838556346639503,37
train,2,m1,0.3333333333333333,0.026600245245742168,38
train,2,m1,0.4166666666666667,0.028376575630616768,39
train,2,m1,0.5833333333333334,0.026782078748313187,40
test,2,ind,0.5,1.6085857188780798e-05,41
test,2,ind,0.4166666666666667,1.2559781596321522e-07,42
test,2,ind,0.4166666666666667,1.4150801832682376e-06,43
test,2,ind,0.5833333333333334,4.615893837480365e-07,44
test,2,ind,0.4166666666666667,2.385960658770529e-06,45
test,2,ind,0.4166666666666667,2.5237795365577447e-07,46
test,2,ind,0.3333333333333333,6.377985791794264e-06,47
test,2,ind,0.6666666666666666,8.156251258677451e-08,48
test,2,m2,0.4166666666666667,2.038203094596907e-07,49
test,2,m2,0.4166666666666667,9.984054662467182e-07,50
test,2,m2,0.3333333333333333,1.2647942398491149e-06,51
test,2,m2,0.5,6.364684221810812e-06,52
test,2,m2,0.5,1.0082899938562342e-05,53
test,2,m2,0.5,1.0442149638979111e-05,54
test,2,m2,0.3333333333333333,0.0002675410748263547,55
test,2,m2,0.5,0.0002973255530307405,56
test,2,m1,0.5833333333333334,0.01353802388444692,57
test,2,m1,1.0,0.014773361611314173,58
test,2,m1,0.4166666666666667,0.016029777626102065,59
test,2,m1,1.0,0.015310629403826388,60
test,2,m1,0.5,0.01655347169208551,61
test,2,m1,0.75,0.017815979164632168,62
test,2,m1,1.0,0.019097183756495866,63
test,2,m1,1.0,0.01824835507875443,64
train,4,m2,0.3333333333333333,0.0002440977136793567,1
train,4,m2,0.5833333333333334,5.622464133569252e-06,2
train,4,m2,0.6666666666666666,8.836044086035342e-06,3
train,4,m2,0.4166666666666667,1.0745541847770626e-05,4
train,4,m2,0.4166666666666667,1.1983258851949836e-05,5
train,4,m2,0.6666666666666666,5.554515619867347e-07,6
train,4,m2,0.5,1.191932996337327e-05,7
train,4,m2,0.6666666666666666,9.281976608875306e-05,8
train,4,m2,0.5833333333333334,0.0001345545564179563,9
