blockcollect,ID,condition,correctcollect,p,trialcollect,recall_likelihood
train,1,m2,0.4166666666666667,0.0033428556446322352,1,0.0019933879698224655
train,1,m2,0.5,0.0032139882917429675,2,7.504694706668659e-06
train,1,m2,0.8333333333333334,0.00197856071768606,3,4.30482910333812e-06
train,1,m2,0.5833333333333334,0.00018955196177488723,4,3.642908449176227e-05
train,1,m2,0.8333333333333334,0.0077531536084719885,5,5.343009699993733e-06
train,1,m2,0.5,0.006174781802890859,6,2.4069807514774387e-05
train,1,m2,0.6666666666666666,0.0009330868875804518,7,0.00010948777638130861
train,1,m2,0.5,0.0015208269077366195,8,0.0001801977517681328
train,1,m2,0.5,0.00026207423630258226,9,0.0002601494537566241
train,1,m2,0.8333333333333334,0.00022240232851687965,10,0.000725548862214497
train,1,m2,0.5,0.0003532399743487234,11,2.4023942353849665e-07
train,1,m2,0.9166666666666666,0.021999051249169375,12,0.008167767592662164
train,1,m2,0.5833333333333334,0.017972158615847313,13,0.01159240890491737
train,1,m2,1.0,0.14259612855300843,14,0.015048711060055946
train,1,m2,0.6666666666666666,0.016528792197646715,15,0.01852321126960652
train,1,m2,0.9166666666666666,0.07634026226371918,16,1.5338806234974074e-05
train,1,m2,0.75,0.005643497613320225,17,0.020121273087677926
train,1,m2,0.75,0.0013495856923961768,18,0.00041007133468015395
train,1,m2,0.6666666666666666,0.0689018336164228,19,0.024942900010301885
train,1,m2,0.5833333333333334,0.0016734838191344791,20,0.02533078994149086
train,1,m2,1.0,0.15686234221865852,21,0.028462270420976255
train,1,m2,1.0,0.16603309778722167,22,0.031584638824318195
train,1,m2,0.75,0.004162865494969823,23,0.03469305814705794
train,1,m2,0.6666666666666666,0.09606834278481818,24,0.03465084452011734
train,1,m2,0.4166666666666667,0.003156445271780026,25,0.037651020169048054
train,1,m2,1.0,0.11149945883269859,26,0.04063304376674202
train,1,m2,0.75,0.0013904053296639675,27,0.043593835499612384
train,1,m2,0.6666666666666666,0.03600271421994888,28,0.04318557162955236
train,1,m2,0.6666666666666666,0.12402478574416474,29,0.046046311487311066
train,1,m2,0.6666666666666666,0.13025247234773715,30,8.40813707947564e-05
train,1,m2,1.0,0.11945234554082855,31,0.0502777134961681
train,1,m2,0.6666666666666666,0.13063357061426234,32,0.0496430832846913
train,1,m2,1.0,0.18926462832182028,33,0.0523591423835207
train,1,m2,0.6666666666666666,0.14220381289492323,34,0.05505030175539291
train,1,m2,1.0,0.12950523842292616,35,0.05771532858899161
train,1,m2,1.0,0.14476499075032578,36,0.05681254380061021
train,1,m2,0.5,3.8092093868181715e-05,37,0.05939673308098024
train,1,m2,0.5833333333333334,0.0246940233410603,38,0.06195555298602093
train,1,m2,0.5,0.0016265660596678855,39,0.06448816856859281
train,1,m2,0.9166666666666666,0.12222439601949353,40,0.06335714890007801
test,1,m2,0.8333333333333334,0.016023854608908438,41,0.06581837635749382
test,1,m2,0.6666666666666666,0.028990283615410912,42,0.06825449374404005
test,1,m2,1.0,0.14622174220594697,43,1.025387246898791e-05
test,1,m2,0.9166666666666666,0.033541674736272245,44,0.06702595624615756
test,1,m2,0.75,0.0028537689614359417,45,0.06936214129433065
test,1,m2,0.9166666666666666,0.01367374803791045,46,0.0716751893824091
test,1,m2,0.8333333333333334,0.014778667337762869,47,0.07396466850367509
test,1,m2,0.5,0.0018175153320771124,48,0.07257858376220953
test,1,m1,0.5833333333333334,0.018263374866147722,49,8.57693306189238e-09
test,1,m1,0.75,0.001507196856189529,50,1.2210298397270278e-06
test,1,m1,0.5,0.14442202527155817,51,2.2271965926054874e-07
test,1,m1,0.3333333333333333,0.15564226364586622,52,9.157563655423163e-07
test,1,m1,0.4166666666666667,0.1761538206381513,53,5.802173911410341e-07
