blockcollect,ID,condition,correctcollect,p,trialcollect,recall_likelihood
train,1,m2,0.4166666666666667,0.0033990413909990567,1,2.8868973076020447e-06
train,1,m2,0.75,0.0035825065280833445,2,6.808753150159455e-06
train,1,m2,0.3333333333333333,0.0011740740698738285,3,1.1983815528563824e-05
train,1,m2,0.25,2.0826897263419294e-07,4,6.790139626104263e-06
train,1,m2,0.25,0.00011060784045427609,5,1.70991775712833e-08
train,1,m2,0.4166666666666667,0.0007499386555765051,6,1.908390459838345e-05
train,1,m2,0.6666666666666666,0.0001866441602215997,7,5.142687164330962e-07
train,1,m2,0.5833333333333334,4.218006545501544e-05,8,5.269457337160143e-09
train,1,m2,0.16666666666666666,1.8881670024391117e-05,9,1.0689985344791116e-07
train,1,m2,0.25,0.0014983358067215016,10,9.584199516471338e-08
train,1,m2,0.25,8.459345436520044e-06,11,5.054811456377158e-10
train,1,m2,0.5,1.997118828416252e-05,12,7.168851552756039e-08
train,1,m2,0.8333333333333334,0.00035455215021839935,13,8.390051709535471e-07
train,1,m2,0.16666666666666666,9.263053762212161e-05,14,9.558192797612604e-08
train,1,m2,0.6666666666666666,4.877477290317129e-09,15,1.16854695120769e-08
train,1,m2,0.3333333333333333,0.00023569959298929902,16,2.745299641302566e-07
train,1,m2,0.5833333333333334,3.8110643069681567e-06,17,2.8063074650890224e-08
train,1,m2,0.3333333333333333,2.201759972232048e-05,18,3.0279928657061856e-07
train,1,m2,0.08333333333333333,2.1224142575388506e-07,19,2.0142385181885188e-07
train,1,m2,0.4166666666666667,1.7565026111918887e-07,20,3.4782163133005776e-07
train,1,m2,0.5,0.005680817926501383,21,1.8185833031497083e-08
train,1,m2,0.5833333333333334,4.262564680440618e-06,22,3.7318316102391665e-07
train,1,m2,0.4166666666666667,0.00010161017695098125,23,1.7996416787663066e-08
train,1,m2,0.6666666666666666,2.3252184141583838e-05,24,2.99692527129266e-07
train,1,m2,0.3333333333333333,1.2246480664428721e-05,25,5.522237833585464e-08
train,1,m2,0.16666666666666666,5.494678167760239e-07,26,1.0732580473814504e-07
train,1,m2,0.3333333333333333,0.0001891994749470415,27,4.513261584047991e-07
train,1,m2,0.3333333333333333,8.92928447301938e-05,28,4.8923129934928476e-08
train,1,m2,0.4166666666666667,7.949590246237147e-06,29,6.783859128598715e-07
train,1,m2,0.75,0.00018357306243429515,30,9.654321942282878e-08
train,1,m2,0.25,6.485692630615634e-05,31,9.245863283202473e-07
train,1,m2,0.6666666666666666,5.706854663023289e-06,32,1.435093602343424e-06
train,1,m2,0.5833333333333334,6.0936238893966e-06,33,2.646310019587229e-09
train,1,m2,0.3333333333333333,1.1613111689810857e-06,34,1.6647924329115775e-07
train,1,m2,0.16666666666666666,2.814485806035286e-06,35,9.177947796043608e-09
train,1,m2,0.4166666666666667,0.001130114768539153,36,3.256958867712422e-07
train,1,m2,0.16666666666666666,1.5303248232769747e-05,37,2.3745255110173804e-08
train,1,m2,0.3333333333333333,4.073515975492003e-06,38,5.330029642565465e-07
train,1,m2,0.16666666666666666,5.024907642713567e-06,39,8.110199563085572e-08
train,1,m2,0.5833333333333334,3.5452780299437145e-06,40,5.745786767202642e-08
test,1,m2,0.5,6.547125564129138e-05,41,3.5933468463344457e-19
test,1,m2,0.5833333333333334,5.211097223646564e-05,42,9.447235709296373e-16
test,1,m2,0.5,0.004080586558397558,43,8.21160915004543e-14
test,1,m2,0.6666666666666666,1.4464456399926924e-05,44,1.7649382985273473e-12
test,1,m2,0.5833333333333334,0.0005105333087464712,45,1.7667685517863528e-11
test,1,m2,0.6666666666666666,0.0005761967994493172,46,1.0927400790842682e-10
test,1,m2,0.75,9.516807735310952e-05,47,4.855275699598251e-10
test,1,m2,0.5,0.00027363019585568613,48,1.6958043815660917e-09
test,1,m1,0.5,0.00029732912974651126,49,4.933936133174299e-09
test,1,m1,0.5833333333333334,0.00032346588513843064,50,1.3534380239272662e-08
test,1,m1,0.4166666666666667,0.00035307890560909623,51,3.2417536700439116e-08
test,1,m1,0.3333333333333333,0.0001535345219271023,52,5.680859381382466e-08
test,1,m1,0.25,0.00039876855681656267,53,1.1615894612854956e-07
test,1,m1,0.4166666666666667,7.730246482803927e-05,54,2.0695938900209366e-07
test,1,m1,0.16666666666666666,0.0021735537721960267,55,2.9879963276936e-07
test,1,m1,0.5833333333333334,0.0009317539736035642,56,5.46017320476036e-07
test,1,ind,0.5,0.0014845685851596028,57,9.351894027082716e-07
test,1,ind,0.4166666666666667,7.951909814729637e-05,58,1.13717068712684e-06
test,1,ind,0.6666666666666666,8.071473466863626e-05,59,1.5221532543554924e-06
test,1,ind,0.5,0.00023783319754574843,60,6.604405101247008e-07
test,1,ind,0.75,0.00015719981955592647,61,6.514070099784127e-07
test,1,ind,0.3333333333333333,0.00012795453426792412,62,3.752764291006576e-06
test,1,ind,0.5,0.00011154884175884497,63,5.113505802957719e-06
test,1,ind,0.5833333333333334,0.0002392653188539973,64,6.192100940365165e-06
train,2,ind,0.5833333333333334,0.0008831041168202353,1,1.741765636152536e-05
train,2,ind,0.16666666666666666,0.0005825586640931128,2,3.463535423594768e-06
train,2,ind,0.6666666666666666,0.0011393566140474492,3,3.7128234162770756e-08
train,2,ind,0.5833333333333334,0.0009098073272116226,4,8.983862136502016e-07
train,2,ind,0.16666666666666666,0.00018200044504674843,5,7.171730948295896e-07
train,2,ind,0.5833333333333334,0.00013113363146449714,6,6.255208987962537e-08
train,2,ind,0.75,6.373790048152255e-05,7,6.871762567818712e-07
train,2,ind,0.6666666666666666,3.0187069871259903e-06,8,1.6587466581698542e-06
train,2,ind,0.5833333333333334,3.520336815025992e-05,9,3.8747343352498025e-08
train,2,ind,0.25,3.8060402163772806e-06,10,5.686348170747083e-08
train,2,ind,0.25,1.0130063673506179e-07,11,3.25239257923897e-08
train,2,ind,0.4166666666666667,5.498851594826705e-06,12,2.2958976954154476e-07
train,2,ind,0.3333333333333333,4.465006882438002e-07,13,2.243379125908675e-07
train,2,ind,0.4166666666666667,6.400617904840816e-07,14,3.641732300672811e-07
train,2,ind,0.3333333333333333,2.3414891995892635e-08,15,1.3795547531844256e-08
train,2,ind,0.25,1.956563439450653e-07,16,6.743629460882793e-07
train,2,ind,0.4166666666666667,3.618781140602859e-05,17,8.331936795435561e-10
train,2,ind,0.4166666666666667,1.4851854686486278e-05,18,1.296914511192618e-07
train,2,ind,0.25,1.0464952062902124e-06,19,1.7041095192019064e-08
train,2,ind,0.08333333333333333,5.8892993731274187e-08,20,1.4069635794969055e-09
train,2,ind,0.75,1.603784571226639e-05,21,6.346653866840353e-08
train,2,ind,0.16666666666666666,4.4706066363697714e-08,22,1.1030603946593229e-07
train,2,ind,0.16666666666666666,2.0171601675600615e-06,23,5.215091492095379e-08
train,2,ind,0.5,4.05884685536832e-06,24,9.508871092036615e-08
train,2,ind,0.3333333333333333,8.518369032746764e-08,25,7.793591716901352e-08
train,2,ind,0.16666666666666666,2.0191606164780765e-07,26,1.6696180288557346e-07
train,2,ind,0.5833333333333334,3.29110480634838e-07,27,1.7778900722919754e-07
train,2,ind,0.5833333333333334,3.55991571893419e-07,28,5.430840858862703e-08
train,2,ind,0.16666666666666666,7.511850034963999e-06,29,3.410446152919171e-07
train,2,ind,0.5,2.9903897294579897e-05,30,1.0051177051696801e-07
train,2,ind,0.4166666666666667,2.0650676365916313e-07,31,7.435586664314713e-08
train,2,ind,0.5833333333333334,3.216090742256389e-08,32,2.0529508645515533e-07
train,2,ind,0.25,2.1855184828878745e-07,33,1.5477144293111963e-09
train,2,ind,0.3333333333333333,3.240017265121372e-07,34,4.759060007335918e-07
train,2,ind,0.5,1.5369197534938967e-06,35,1.0941120462347561e-08
train,2,ind,0.25,9.32175392954752e-08,36,3.9815498570125204e-07
