blockcollect,ID,condition,correctcollect,p,trialcollect
train,1,m2,0.42857142857142855,0.0022561458935035574,1
train,1,m2,0.5,0.00045222874098739096,2
train,1,m2,0.35714285714285715,4.228736136093228e-05,3
train,1,m2,0.42857142857142855,0.0010243533184222712,4
train,1,m2,0.42857142857142855,0.008390753931594797,5
train,1,m2,0.2857142857142857,0.07008547336372034,6
train,1,m2,0.21428571428571427,1.7249162651548817e-06,7
train,1,m2,0.42857142857142855,0.002048360785199617,8
train,1,m2,0.35714285714285715,0.039893210532103214,9
train,1,m2,0.35714285714285715,5.119393863017229e-05,10
train,1,m2,0.35714285714285715,0.0003703754443551663,11
train,1,m2,0.7142857142857143,0.03519904183461198,12
train,1,m2,0.7857142857142857,0.0013273055100003542,13
train,1,m2,0.7857142857142857,0.013634904834547098,14
train,1,m2,0.7142857142857143,0.03350889472292564,15
train,1,m2,0.42857142857142855,0.00033421506661993896,16
train,1,m2,0.35714285714285715,0.001389234089466658,17
train,1,m2,0.5,0.0005452802823870667,18
train,1,m2,1.0,0.13665792831082768,19
train,1,m2,0.2857142857142857,0.043674496164576936,20
train,1,m2,1.0,0.1679978139186544,21
train,1,m2,0.8571428571428571,0.0006078728495332074,22
train,1,m2,0.2857142857142857,0.0014642967521971055,23
train,1,m2,1.0,0.19461559230749267,24
train,1,m2,0.35714285714285715,0.08749534837169197,25
train,1,m2,0.35714285714285715,0.09295742663749898,26
train,1,m2,0.7857142857142857,0.014453703836573814,27
train,1,m2,0.35714285714285715,0.09505862070389746,28
train,1,m2,1.0,0.21279757985252198,29
train,1,m2,1.0,0.20996258249933233,30
train,1,m2,0.35714285714285715,0.1103584705989771,31
train,1,m2,1.0,0.23413116093715114,32
train,1,m2,0.35714285714285715,0.024463639572242783,33
train,1,m2,0.35714285714285715,0.11653270006966608,34
train,1,m2,0.7857142857142857,0.01466101832196192,35
train,1,m2,1.0,0.25035379479120995,36
train,1,m2,0.42857142857142855,0.0006002623850408445,37
train,1,m2,1.0,0.24387526676897867,38
train,1,m2,1.0,0.1613401736658173,39
train,1,m2,1.0,0.26472933455147574,40
test,1,m2,1.0,0.15101894004655556,41
test,1,m2,0.35714285714285715,0.13595978662861846,42
test,1,m2,1.0,0.2547388854396715,43
test,1,m2,1.0,0.2775422268723167,44
test,1,m2,0.7857142857142857,0.0107302389366895,45
test,1,m2,0.21428571428571427,0.003227167303077122,46
test,1,m2,0.35714285714285715,0.1485275940121578,47
test,1,m2,0.7857142857142857,0.10587259902873418,48
test,1,m1,0.5714285714285714,0.2691476286708654,49
test,1,m1,0.2857142857142857,1.7879707497481105e-06,50
test,1,m1,0.35714285714285715,0.00446230360041221,51
test,1,m1,0.7142857142857143,0.0005260060765178533,52
test,1,m1,0.5,0.0846295740620857,53
test,1,m1,0.14285714285714285,0.10402788935588503,54
test,1,m1,0.5714285714285714,0.2089035329117976,55
test,1,m1,0.7142857142857143,0.0005808547146762344,56
test,1,ind,0.2857142857142857,0.09422197420070795,57
test,1,ind,0.35714285714285715,0.08969888767429732,58
test,1,ind,0.2857142857142857,0.08498677241414984,59
test,1,ind,0.42857142857142855,2.682497899403531e-07,60
test,1,ind,0.42857142857142855,0.05789198095467514,61
test,1,ind,0.5,0.15363531827107962,62
test,1,ind,0.5,0.004330563992467729,63
test,1,ind,0.42857142857142855,0.0003906732677516087,64
train,3,m2,0.42857142857142855,0.00029453393363860917,1
train,3,m2,0.42857142857142855,0.00013517925910448938,2
train,3,m2,0.5714285714285714,3.879209219356593e-06,3
train,3,m2,0.42857142857142855,0.030507860589936122,4
train,3,m2,0.2857142857142857,0.00021237964201526103,5
train,3,m2,1.0,0.006953905732546196,6
train,3,m2,0.8571428571428571,0.0005392932408789278,7
train,3,m2,0.2857142857142857,0.04871535658064824,8
train,3,m2,0.7142857142857143,0.08479199775387153,9
train,3,m2,0.5714285714285714,0.004533992537142181,10
train,3,m2,0.7142857142857143,0.09300062823661337,11
train,3,m2,0.5,0.011031149824367384,12
train,3,m2,1.0,0.10876539248710955,13
train,3,m2,0.5,0.0014384184982637934,14
train,3,m2,1.0,0.12498044631431603,15
train,3,m2,1.0,0.14190510148832255,16
train,3,m2,0.5,0.0020148336935761455,17
train,3,m2,1.0,0.13835409037831736,18
train,3,m2,1.0,0.1321326179679596,19
train,3,m2,0.35714285714285715,0.017019274399697196,20
train,3,m2,1.0,0.12280366496608952,21
train,3,m2,0.35714285714285715,0.07909462067554049,22
train,3,m2,0.42857142857142855,0.0013864233454316626,23
train,3,m2,0.7142857142857143,0.027710633099248146,24
train,3,m2,1.0,0.1919806398772092,25
train,3,m2,0.5,1.7095169177067695e-05,26
train,3,m2,0.35714285714285715,0.023029607337508657,27
train,3,m2,0.2857142857142857,0.0376767519224113,28
train,3,m2,1.0,0.13500609778032424,29
train,3,m2,0.7142857142857143,0.025160316314222834,30
train,3,m2,0.42857142857142855,0.01219859418581504,31
train,3,m2,1.0,0.23413116093715114,32
train,3,m2,0.2857142857142857,0.03475483922099616,33
train,3,m2,0.35714285714285715,0.002962324165836771,34
train,3,m2,0.7142857142857143,0.0001013128072941623,35
train,3,m2,0.35714285714285715,0.11754829968583713,36
train,3,m2,1.0,0.2470788308082172,37
train,3,m2,1.0,0.24387526676897867,38
train,3,m2,0.2857142857142857,0.03181581083388579,39
train,3,m2,0.35714285714285715,0.12728487115565237,40
test,3,m2,1.0,0.15101894004655556,41
test,3,m2,0.35714285714285715,0.13595978662861846,42
test,3,m2,1.0,0.16628342108416505,43
test,3,m2,0.7857142857142857,0.10138636666162372,44
test,3,m2,0.35714285714285715,0.14037453162757618,45
test,3,m2,0.35714285714285715,0.14448088590926947,46
test,3,m2,1.0,0.26725545923612326,47
test,3,m2,1.0,0.28902153603368624,48
test,3,ind,0.42857142857142855,0.09524355948545471,49
test,3,ind,0.7142857142857143,0.25047071931140685,50
test,3,ind,0.5714285714285714,0.0030936218169723166,51
test,3,ind,0.6428571428571429,0.01305085646254701,52
test,3,ind,0.5714285714285714,0.09750058921277163,53
test,3,ind,0.5714285714285714,0.18555974718847595,54
test,3,ind,0.2857142857142857,4.892247211244065e-05,55
test,3,ind,0.14285714285714285,0.08082694670545933,56
test,3,m1,0.5714285714285714,0.16425422392496122,57
test,3,m1,0.35714285714285715,0.016578322182763686,58
test,3,m1,0.2857142857142857,7.971266377387365e-05,59
test,3,m1,0.2857142857142857,4.866525396436363e-06,60
test,3,m1,0.2857142857142857,3.197875150237139e-06,61
test,3,m1,0.42857142857142855,9.64932788878456e-07,62
test,3,m1,0.5,0.04922002963569983,63
test,3,m1,0.2857142857142857,0.0004158720433588801,64
train,4,ind,0.42857142857142855,0.002771908418551003,1
train,4,ind,0.42857142857142855,3.7252481303364956e-05,2
train,4,ind,0.2857142857142857,3.2921916103580597e-06,3
train,4,ind,0.14285714285714285,0.0036952202689318277,4
train,4,ind,0.5714285714285714,0.000281009288839714,5
