ID,condition,recallcollect,instructioncollect,trialcollect,correctcollect
1,m2,D,D,1,1
1,m2,D,D,1,1
1,m2,D,D,1,1
1,m2,D,K,1,0
1,m2,D,K,1,0
1,m2,D,D,1,1
1,m2,K,D,1,0
1,m2,D,K,1,0
1,m2,D,K,1,0
1,m2,D,K,1,0
1,m2,D,K,1,0
1,m2,D,D,1,1
1,m2,S,S,2,1
1,m2,S,S,2,1
1,m2,K,S,2,0
1,m2,K,K,2,1
1,m2,K,K,2,1
1,m2,K,S,2,0
1,m2,S,S,2,1
1,m2,K,K,2,1
1,m2,S,K,2,0
1,m2,S,K,2,0
1,m2,S,K,2,0
1,m2,K,S,2,0
1,m2,D,D,3,1
1,m2,D,D,3,1
1,m2,D,D,3,1
1,m2,K,K,3,1
1,m2,K,K,3,1
1,m2,K,D,3,0
1,m2,K,D,3,0
1,m2,K,K,3,1
1,m2,K,K,3,1
1,m2,K,K,3,1
1,m2,K,K,3,1
1,m2,D,D,3,1
1,m2,K,K,4,1
1,m2,K,K,4,1
1,m2,S,K,4,0
1,m2,S,S,4,1
1,m2,S,S,4,1
1,m2,S,K,4,0
1,m2,S,K,4,0
1,m2,S,S,4,1
1,m2,K,S,4,0
1,m2,S,S,4,1
1,m2,K,S,4,0
1,m2,K,K,4,1
1,m2,S,S,5,1
1,m2,S,S,5,1
1,m2,S,S,5,1
1,m2,J,J,5,1
1,m2,J,J,5,1
1,m2,S,S,5,1
1,m2,S,S,5,1
1,m2,S,J,5,0
1,m2,S,J,5,0
1,m2,J,J,5,1
1,m2,J,J,5,1
1,m2,S,S,5,1
1,m2,K,K,6,1
1,m2,S,K,6,0
1,m2,S,K,6,0
1,m2,S,S,6,1
1,m2,S,S,6,1
1,m2,K,K,6,1
1,m2,K,K,6,1
1,m2,K,S,6,0
1,m2,S,S,6,1
1,m2,K,S,6,0
1,m2,K,S,6,0
1,m2,S,K,6,0
1,m2,K,K,7,1
1,m2,D,K,7,0
1,m2,K,K,7,1
1,m2,D,D,7,1
1,m2,D,D,7,1
1,m2,D,K,7,0
1,m2,D,K,7,0
1,m2,D,D,7,1
1,m2,D,D,7,1
1,m2,D,D,7,1
