blockcollect,ID,condition,correctcollect,p,trialcollect,recall_likelihood
train,1,m2,0.6666666666666666,0.02529335840698185,1,2.8868973076020447e-06
train,1,m2,0.5,0.0053585033081885135,2,3.709263245960487e-06
train,1,m2,0.8333333333333334,0.0006501847337754041,3,7.896063154313144e-07
train,1,m2,0.4166666666666667,2.4963662927342933e-06,4,3.2772206582006705e-06
train,1,m2,0.3333333333333333,3.9980037983844204e-07,5,2.081301073986219e-08
train,1,m2,0.5,4.0499724854513285e-05,6,1.4502845360786779e-06
train,1,m2,0.5,0.00011425195981252692,7,1.4702957400878434e-06
train,1,m2,0.25,3.431036016278073e-05,8,1.2726223173910857e-07
train,1,m2,0.5,0.00018306126784798377,9,6.706445678675556e-07
train,1,m2,0.3333333333333333,1.2660928474219557e-05,10,1.004370373677647e-06
train,1,m2,0.25,0.00014719681323051103,11,1.3942281663328947e-10
train,1,m2,0.5,0.00030734970461958534,12,2.2796767697438964e-06
train,1,m2,0.5,0.00031642748569565105,13,8.587149799926416e-06
train,1,m2,0.4166666666666667,1.5305832923111916e-06,14,6.512172684879543e-06
train,1,m2,0.25,1.494551782129595e-05,15,7.191139161835176e-08
train,1,m2,0.4166666666666667,0.020853478131970707,16,6.026246379521608e-07
train,1,m2,0.16666666666666666,0.005811546215505655,17,1.1751132975694522e-07
train,1,m2,0.4166666666666667,0.003535208906730902,18,5.115224842791905e-07
train,1,m2,0.25,0.00022655841659379632,19,2.2731720734485405e-08
train,1,m2,0.5,9.744166779854619e-05,20,2.4150321409881008e-08
train,1,m2,0.25,0.0002046521064908457,21,5.222157241666485e-07
train,1,m2,0.25,0.0003915495896645001,22,4.996834987839992e-07
train,1,m2,0.16666666666666666,0.00018400848187303154,23,7.605466629091939e-08
train,1,m2,0.16666666666666666,0.0019997067187695495,24,4.592998161327825e-06
train,1,m2,0.25,0.0015618709211219516,25,7.285475935425917e-08
train,1,m2,0.25,0.0004004011507390603,26,3.2197364004650242e-06
train,1,m2,0.5,0.009132997242614325,27,5.4545916337875235e-05
train,1,m2,0.5,0.01534395509265702,28,3.5331625634900215e-07
train,1,m2,0.3333333333333333,0.0025230992830580375,29,7.454010698661758e-05
train,1,m2,0.16666666666666666,7.4296901202129135e-06,30,2.388910136159406e-07
train,1,m2,0.3333333333333333,0.020857318600760705,31,2.073299970832816e-08
train,1,m2,0.25,8.532632556561521e-05,32,0.00010160734006653216
train,1,m2,0.16666666666666666,2.0499538547234417e-05,33,1.860618147362415e-07
train,1,m2,0.4166666666666667,0.010792819541478569,34,4.6085147187694654e-07
train,1,m2,0.75,0.0036951352837456815,35,1.2912403541456578e-06
train,1,m2,0.5833333333333334,0.0028421213447878857,36,6.415319991080826e-07
train,1,m2,0.5,0.012840007993167608,37,3.3685440618688268e-06
train,1,m2,0.6666666666666666,0.0015211059327638941,38,2.9973332008300802e-06
train,1,m2,0.25,8.811546612563481e-05,39,5.305473706613615e-07
train,1,m2,0.8333333333333334,0.005106999459285205,40,1.2148243982430855e-08
test,1,m2,0.5,0.0038762396921316034,41,2.7210953117856063e-14
test,1,m2,0.5,0.0008141890063039283,42,1.3602704820311539e-11
test,1,m2,0.3333333333333333,0.0006580012363038054,43,3.7308408692806745e-10
test,1,m2,0.4166666666666667,0.0004574621884420678,44,1.2834556119449094e-07
test,1,m2,0.75,0.015199040345118337,45,1.2923495140547338e-09
test,1,m2,0.5,0.0028626574826669435,46,9.24412973989087e-07
test,1,m2,0.5833333333333334,0.00035328996602535445,47,7.203422975375026e-09
test,1,m2,0.4166666666666667,0.0012740445214777072,48,3.1732668494673814e-06
test,1,m1,0.5,0.00024407540500938422,49,7.302179680587667e-08
test,1,m1,0.5833333333333334,0.000311295297140327,50,1.5450977174142827e-08
test,1,m1,0.5,0.014733606112002013,51,1.0797416922077033e-11
test,1,m1,0.6666666666666666,0.002086584675781647,52,2.3916541946908146e-06
test,1,m1,0.5,0.01355961591620968,53,1.3931096177621375e-07
test,1,m1,0.6666666666666666,0.004489348759036542,54,4.1143850055954606e-08
test,1,m1,0.6666666666666666,0.0011753338579186935,55,3.375410742102526e-06
test,1,m1,0.6666666666666666,0.021627237453801126,56,6.176467315878987e-08
test,1,ind,0.5,1.840456168376894e-06,57,1.467755777653319e-06
test,1,ind,0.5,0.030440311064020755,58,4.918982727806563e-09
test,1,ind,0.6666666666666666,0.0018366117988482802,59,1.4114620344605197e-09
