blockcollect,ID,condition,correctcollect,p,trialcollect
train,1,ind,0.4166666666666667,0.010004774126354013,1
train,1,ind,0.5,0.0010395415421070367,2
train,1,ind,0.3333333333333333,0.0021919040914222592,3
train,1,ind,0.5,0.0007359559470931856,4
train,1,ind,0.3333333333333333,5.558325894071957e-05,5
train,1,ind,0.5,5.068307227605764e-09,6
train,1,ind,0.25,0.0001724630814841848,7
train,1,ind,1.0,0.13967829349542063,8
train,1,ind,0.4166666666666667,0.001039140009508442,9
train,1,ind,0.25,0.0005141368326749636,10
train,1,ind,0.16666666666666666,5.183009045240499e-05,11
train,1,ind,0.4166666666666667,9.141726592390161e-06,12
train,1,ind,1.0,0.10287965391932627,13
train,1,ind,1.0,0.10778194619602686,14
train,1,ind,0.3333333333333333,4.188959263987277e-07,15
train,1,ind,1.0,0.11727600226392204,16
train,1,ind,1.0,0.1218730849053917,17
train,1,ind,0.3333333333333333,1.8178453543192507e-06,18
train,1,ind,0.3333333333333333,1.245810731283239e-06,19
train,1,ind,0.08333333333333333,5.549096109897502e-06,20
train,1,ind,0.5833333333333334,1.485927003781983e-08,21
train,1,ind,1.0,0.11067641463976514,22
train,1,ind,1.0,0.1154782489713148,23
train,1,ind,0.16666666666666666,0.0018019574794323377,24
train,1,ind,1.0,0.09365255268662247,25
train,1,ind,1.0,0.09881926012980834,26
train,1,ind,1.0,0.10396827168491045,27
train,1,ind,0.25,9.171860149675194e-06,28
train,1,ind,0.6666666666666666,5.936289586984834e-05,29
train,1,ind,0.5,0.0004580126922591063,30
train,1,ind,0.3333333333333333,0.0067155466526885215,31
train,1,ind,0.08333333333333333,0.0001206279960123077,32
train,1,ind,1.0,0.13448670845612157,33
train,1,ind,1.0,0.13950987377881185,34
train,1,ind,0.16666666666666666,1.87208021469782e-05,35
train,1,ind,0.5,2.857882139260188e-05,36
train,1,ind,0.75,9.575572702334289e-05,37
train,1,ind,1.0,0.1594195302282624,38
train,1,ind,1.0,0.1643509014794425,39
train,1,ind,1.0,0.1692637445458577,40
test,1,m1,0.5833333333333334,0.01222281797859688,41
test,1,m1,0.6666666666666666,0.0037768972190905777,42
test,1,m1,0.75,0.05213084467167376,43
test,1,m1,1.0,0.0013323276447722836,44
test,1,m1,0.16666666666666666,0.002410527937926359,45
test,1,m1,0.8333333333333334,0.03182514131423424,46
test,1,m1,0.75,0.061578665241892254,47
test,1,m1,0.6666666666666666,0.05897669395812455,48
test,1,m1,0.25,0.00017806500365259064,49
test,1,m1,0.25,1.7799133247642886e-07,50
test,1,m1,0.16666666666666666,1.9510287814889754e-07,51
test,1,m1,1.0,0.04399479307107255,52
test,1,m1,0.6666666666666666,0.00021968595712115998,53
test,1,m1,0.8333333333333334,0.042047369873711146,54
test,1,m1,0.08333333333333333,1.3429365099148412e-07,55
test,1,m1,0.5,3.0918466577787725e-08,56
test,1,m1,0.5,0.00034324794831888916,57
test,1,m1,0.16666666666666666,0.006508912115671106,58
test,1,m1,0.16666666666666666,0.000542554032625579,59
test,1,m1,0.08333333333333333,0.0037644574829295524,60
test,1,m1,0.16666666666666666,3.5571945430213933e-06,61
test,1,m1,0.75,0.044396593670912435,62
test,1,m1,0.8333333333333334,0.04324048696482355,63
test,1,m1,0.75,5.0785119205960555e-05,64
train,2,m1,0.5,0.00023184234805416641,1
train,2,m1,0.3333333333333333,9.20745678078378e-05,2
train,2,m1,0.3333333333333333,1.561466046648622e-05,3
train,2,m1,0.3333333333333333,8.601182703101686e-05,4
train,2,m1,0.3333333333333333,2.8577926846860492e-05,5
train,2,m1,0.3333333333333333,0.0005308395659427065,6
train,2,m1,0.5,2.8135202973924615e-05,7
train,2,m1,0.3333333333333333,1.9151691711907795e-10,8
train,2,m1,0.6666666666666666,0.00030748949202248247,9
train,2,m1,0.3333333333333333,1.5931215225849835e-05,10
train,2,m1,0.3333333333333333,4.951415352463515e-05,11
train,2,m1,0.6666666666666666,1.8673419599305983e-05,12
train,2,m1,0.75,0.009149642182331715,13
train,2,m1,0.5,7.222465917065874e-07,14
train,2,m1,0.25,6.784791145225483e-07,15
train,2,m1,0.75,0.03872267387873875,16
train,2,m1,0.25,4.469377986179514e-06,17
train,2,m1,0.6666666666666666,0.011564787258607191,18
train,2,m1,0.3333333333333333,6.84549735516698e-08,19
train,2,m1,0.25,3.2264475598898377e-06,20
train,2,m1,0.75,0.059876399955028844,21
train,2,m1,0.3333333333333333,0.00195349449106806,22
train,2,m1,0.5,3.511121693071749e-08,23
