blockcollect,ID,condition,correctcollect,p,trialcollect,recall_likelihood
train,1,ind,0.75,0.01654000096089641,1,4.375375182304919e-10
train,1,ind,0.4166666666666667,0.0011037955313028575,2,6.078768801064287e-10
train,1,ind,0.3333333333333333,0.001447056262981574,3,4.5863180177297153e-10
train,1,ind,0.6666666666666666,0.0007002598747237169,4,1.05176924378038e-09
train,1,ind,0.25,0.00016833684549280201,5,1.633367555114977e-09
train,1,ind,0.75,0.0022976880580480763,6,1.7371490104594799e-09
train,1,ind,0.4166666666666667,0.00034578540490925997,7,1.8612421038268799e-09
train,1,ind,0.3333333333333333,0.0004764855164244521,8,1.9465321087600666e-09
train,1,ind,0.3333333333333333,0.00011235753862988495,9,2.0068686233048353e-09
train,1,ind,0.4166666666666667,0.0006944277708094753,10,2.0506525866507216e-09
train,1,ind,0.25,7.855920990272365e-05,11,2.0831334372195883e-09
train,1,ind,0.5,0.0002474773320469057,12,2.107692407157792e-09
train,1,ind,0.4166666666666667,1.9752258679748364e-05,13,2.1265701223357415e-09
train,1,ind,0.3333333333333333,2.0641156377070453e-05,14,2.141290116818732e-09
train,1,ind,0.4166666666666667,0.0003343377164145387,15,2.152912547902518e-09
train,1,ind,0.5,0.000573995009466608,16,2.162190528163269e-09
train,1,ind,0.5833333333333334,0.00011972600946147866,17,2.1696690284393406e-09
train,1,ind,0.5833333333333334,0.0005215830034601706,18,2.1757489878062706e-09
train,1,ind,0.4166666666666667,0.0008143544431355052,19,2.1807298040891303e-09
train,1,ind,0.16666666666666666,9.40255452858202e-05,20,2.1848380720513624e-09
train,1,ind,0.4166666666666667,3.279731817142036e-05,21,6.272061304938122e-09
train,1,ind,0.5833333333333334,0.0004489916684912427,22,2.1962506125311555e-09
train,1,ind,0.6666666666666666,0.00011856286500823969,23,2.1979301561479237e-09
train,1,ind,0.8333333333333334,0.00020971197320308654,24,2.1993406597418903e-09
train,1,ind,0.3333333333333333,0.0001265914816002282,25,2.2005299781425125e-09
train,1,ind,0.5833333333333334,0.00015507221254826203,26,2.201536410534012e-09
train,1,ind,0.5833333333333334,7.334708645730593e-05,27,2.202390832789116e-09
