ID,condition,recallcollect,instructioncollect,trialcollect,correctcollect,keyassignment
1,ind,J,J,1,1,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,D,D,1,1,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,S,S,1,1,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,L,L,1,1,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,L,L,1,1,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,K,K,1,1,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,J,J,1,1,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,D,S,1,0,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,S,S,1,1,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,L,F,1,0,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,L,L,1,1,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,L,J,1,0,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,J,J,2,1,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,D,D,2,1,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,S,S,2,1,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,L,L,2,1,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,L,L,2,1,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,L,K,2,0,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,L,J,2,0,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,L,S,2,0,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,J,S,2,0,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,D,F,2,0,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,S,L,2,0,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,F,J,2,0,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,J,J,3,1,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,D,D,3,1,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,S,S,3,1,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,L,L,3,1,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,J,L,3,0,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,D,K,3,0,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,S,J,3,0,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,L,S,3,0,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,L,S,3,0,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,K,F,3,0,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,J,L,3,0,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,D,J,3,0,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,J,J,4,1,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,D,D,4,1,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,S,S,4,1,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,L,L,4,1,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,L,L,4,1,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,L,K,4,0,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,J,J,4,1,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,D,S,4,0,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,S,S,4,1,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,L,F,4,0,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,L,L,4,1,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,K,J,4,0,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,J,J,5,1,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,D,D,5,1,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,S,S,5,1,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,S,L,5,0,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,S,L,5,0,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,L,K,5,0,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,L,J,5,0,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,L,S,5,0,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,L,S,5,0,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,K,F,5,0,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,J,L,5,0,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,D,J,5,0,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,J,J,6,1,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,D,D,6,1,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,S,S,6,1,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,L,L,6,1,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,L,L,6,1,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,K,K,6,1,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,J,J,6,1,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,D,S,6,0,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,S,S,6,1,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,L,F,6,0,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,L,L,6,1,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,L,J,6,0,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,J,J,7,1,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,D,D,7,1,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,S,S,7,1,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,L,L,7,1,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,L,L,7,1,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,J,K,7,0,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,S,J,7,0,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,L,S,7,0,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,K,S,7,0,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,J,F,7,0,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,D,L,7,0,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,S,J,7,0,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,J,J,8,1,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,D,D,8,1,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,S,S,8,1,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,F,L,8,0,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,L,L,8,1,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,L,K,8,0,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,K,J,8,0,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,J,S,8,0,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,D,S,8,0,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,S,F,8,0,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,S,L,8,0,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,L,J,8,0,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,J,J,9,1,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,D,D,9,1,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,S,S,9,1,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,F,L,9,0,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,L,L,9,1,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,L,K,9,0,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,L,J,9,0,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,J,S,9,0,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,D,S,9,0,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,S,F,9,0,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,S,L,9,0,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,S,J,9,0,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,J,J,10,1,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,D,D,10,1,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,S,S,10,1,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,L,L,10,1,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,L,L,10,1,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,L,K,10,0,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,L,J,10,0,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,L,S,10,0,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,L,S,10,0,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,J,F,10,0,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,D,L,10,0,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,S,J,10,0,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,J,J,11,1,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,S,D,11,0,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,L,S,11,0,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,L,L,11,1,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,J,L,11,0,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,D,K,11,0,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,S,J,11,0,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,S,S,11,1,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,L,S,11,0,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,K,F,11,0,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,J,L,11,0,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,D,J,11,0,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,J,J,12,1,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,D,D,12,1,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,S,S,12,1,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,S,L,12,0,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,L,L,12,1,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,J,K,12,0,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,D,J,12,0,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,S,S,12,1,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,F,S,12,0,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,L,F,12,0,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,L,L,12,1,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,L,J,12,0,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,J,J,13,1,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,S,D,13,0,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,F,S,13,0,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,L,L,13,1,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,L,L,13,1,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,L,K,13,0,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,J,J,13,1,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,S,S,13,1,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,F,S,13,0,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,L,F,13,0,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,J,L,13,0,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,D,J,13,0,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,J,J,14,1,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,D,D,14,1,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,S,S,14,1,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,S,L,14,0,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,L,L,14,1,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,J,K,14,0,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,S,J,14,0,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,F,S,14,0,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,L,S,14,0,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,L,F,14,0,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,J,L,14,0,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,S,J,14,0,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,J,J,15,1,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,D,D,15,1,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,S,S,15,1,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,F,L,15,0,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,L,L,15,1,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,J,K,15,0,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,D,J,15,0,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,S,S,15,1,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,F,S,15,0,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,L,F,15,0,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,J,L,15,0,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,D,J,15,0,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,J,J,16,1,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,D,D,16,1,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,S,S,16,1,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,L,L,16,1,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,L,L,16,1,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,J,K,16,0,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,D,J,16,0,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,S,S,16,1,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,L,S,16,0,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,K,F,16,0,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,J,L,16,0,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,D,J,16,0,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,J,J,17,1,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,D,D,17,1,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,S,S,17,1,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,F,L,17,0,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,L,L,17,1,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,L,K,17,0,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,J,J,17,1,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,D,S,17,0,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,S,S,17,1,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,S,F,17,0,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,L,L,17,1,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,K,J,17,0,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,J,J,18,1,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,D,D,18,1,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,S,S,18,1,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,F,L,18,0,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,L,L,18,1,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,K,K,18,1,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,J,J,18,1,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,D,S,18,0,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,S,S,18,1,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,S,F,18,0,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,F,L,18,0,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,L,J,18,0,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,J,J,19,1,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,D,D,19,1,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,S,S,19,1,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,L,L,19,1,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,L,L,19,1,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,L,K,19,0,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,K,J,19,0,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,J,S,19,0,"['F', 'S', 'D', 'L', 'K', 'J']"
