ID,condition,keyassignment,recallcollect,instructioncollect,trialcollect,correctcollect
1,ind,"['F', 'S', 'D', 'L', 'K', 'J']",J,J,1,1
1,ind,"['F', 'S', 'D', 'L', 'K', 'J']",D,D,1,1
1,ind,"['F', 'S', 'D', 'L', 'K', 'J']",S,S,1,1
1,ind,"['F', 'S', 'D', 'L', 'K', 'J']",L,L,1,1
1,ind,"['F', 'S', 'D', 'L', 'K', 'J']",L,L,1,1
1,ind,"['F', 'S', 'D', 'L', 'K', 'J']",L,K,1,0
1,ind,"['F', 'S', 'D', 'L', 'K', 'J']",L,J,1,0
1,ind,"['F', 'S', 'D', 'L', 'K', 'J']",L,S,1,0
1,ind,"['F', 'S', 'D', 'L', 'K', 'J']",J,S,1,0
1,ind,"['F', 'S', 'D', 'L', 'K', 'J']",D,F,1,0
1,ind,"['F', 'S', 'D', 'L', 'K', 'J']",S,L,1,0
1,ind,"['F', 'S', 'D', 'L', 'K', 'J']",L,J,1,0
1,ind,"['F', 'S', 'D', 'L', 'K', 'J']",J,J,2,1
1,ind,"['F', 'S', 'D', 'L', 'K', 'J']",D,D,2,1
1,ind,"['F', 'S', 'D', 'L', 'K', 'J']",S,S,2,1
1,ind,"['F', 'S', 'D', 'L', 'K', 'J']",F,L,2,0
1,ind,"['F', 'S', 'D', 'L', 'K', 'J']",L,L,2,1
1,ind,"['F', 'S', 'D', 'L', 'K', 'J']",L,K,2,0
1,ind,"['F', 'S', 'D', 'L', 'K', 'J']",L,J,2,0
1,ind,"['F', 'S', 'D', 'L', 'K', 'J']",L,S,2,0
1,ind,"['F', 'S', 'D', 'L', 'K', 'J']",L,S,2,0
1,ind,"['F', 'S', 'D', 'L', 'K', 'J']",L,F,2,0
1,ind,"['F', 'S', 'D', 'L', 'K', 'J']",L,L,2,1
1,ind,"['F', 'S', 'D', 'L', 'K', 'J']",J,J,2,1
1,ind,"['F', 'S', 'D', 'L', 'K', 'J']",J,J,3,1
1,ind,"['F', 'S', 'D', 'L', 'K', 'J']",D,D,3,1
1,ind,"['F', 'S', 'D', 'L', 'K', 'J']",S,S,3,1
1,ind,"['F', 'S', 'D', 'L', 'K', 'J']",F,L,3,0
1,ind,"['F', 'S', 'D', 'L', 'K', 'J']",L,L,3,1
1,ind,"['F', 'S', 'D', 'L', 'K', 'J']",L,K,3,0
1,ind,"['F', 'S', 'D', 'L', 'K', 'J']",L,J,3,0
1,ind,"['F', 'S', 'D', 'L', 'K', 'J']",K,S,3,0
1,ind,"['F', 'S', 'D', 'L', 'K', 'J']",J,S,3,0
1,ind,"['F', 'S', 'D', 'L', 'K', 'J']",D,F,3,0
1,ind,"['F', 'S', 'D', 'L', 'K', 'J']",S,L,3,0
1,ind,"['F', 'S', 'D', 'L', 'K', 'J']",L,J,3,0
1,ind,"['F', 'S', 'D', 'L', 'K', 'J']",J,J,4,1
1,ind,"['F', 'S', 'D', 'L', 'K', 'J']",D,D,4,1
1,ind,"['F', 'S', 'D', 'L', 'K', 'J']",S,S,4,1
1,ind,"['F', 'S', 'D', 'L', 'K', 'J']",L,L,4,1
1,ind,"['F', 'S', 'D', 'L', 'K', 'J']",L,L,4,1
1,ind,"['F', 'S', 'D', 'L', 'K', 'J']",L,K,4,0
1,ind,"['F', 'S', 'D', 'L', 'K', 'J']",L,J,4,0
1,ind,"['F', 'S', 'D', 'L', 'K', 'J']",K,S,4,0
1,ind,"['F', 'S', 'D', 'L', 'K', 'J']",J,S,4,0
1,ind,"['F', 'S', 'D', 'L', 'K', 'J']",S,F,4,0
1,ind,"['F', 'S', 'D', 'L', 'K', 'J']",L,L,4,1
1,ind,"['F', 'S', 'D', 'L', 'K', 'J']",L,J,4,0
1,ind,"['F', 'S', 'D', 'L', 'K', 'J']",J,J,5,1
1,ind,"['F', 'S', 'D', 'L', 'K', 'J']",D,D,5,1
1,ind,"['F', 'S', 'D', 'L', 'K', 'J']",S,S,5,1
1,ind,"['F', 'S', 'D', 'L', 'K', 'J']",F,L,5,0
1,ind,"['F', 'S', 'D', 'L', 'K', 'J']",L,L,5,1
1,ind,"['F', 'S', 'D', 'L', 'K', 'J']",J,K,5,0
1,ind,"['F', 'S', 'D', 'L', 'K', 'J']",S,J,5,0
1,ind,"['F', 'S', 'D', 'L', 'K', 'J']",L,S,5,0
1,ind,"['F', 'S', 'D', 'L', 'K', 'J']",J,S,5,0
1,ind,"['F', 'S', 'D', 'L', 'K', 'J']",D,F,5,0
1,ind,"['F', 'S', 'D', 'L', 'K', 'J']",S,L,5,0
1,ind,"['F', 'S', 'D', 'L', 'K', 'J']",F,J,5,0
1,ind,"['F', 'S', 'D', 'L', 'K', 'J']",J,J,6,1
1,ind,"['F', 'S', 'D', 'L', 'K', 'J']",J,D,6,0
1,ind,"['F', 'S', 'D', 'L', 'K', 'J']",S,S,6,1
1,ind,"['F', 'S', 'D', 'L', 'K', 'J']",L,L,6,1
1,ind,"['F', 'S', 'D', 'L', 'K', 'J']",K,L,6,0
1,ind,"['F', 'S', 'D', 'L', 'K', 'J']",L,K,6,0
1,ind,"['F', 'S', 'D', 'L', 'K', 'J']",J,J,6,1
1,ind,"['F', 'S', 'D', 'L', 'K', 'J']",S,S,6,1
1,ind,"['F', 'S', 'D', 'L', 'K', 'J']",L,S,6,0
1,ind,"['F', 'S', 'D', 'L', 'K', 'J']",J,F,6,0
1,ind,"['F', 'S', 'D', 'L', 'K', 'J']",L,L,6,1
1,ind,"['F', 'S', 'D', 'L', 'K', 'J']",L,J,6,0
1,ind,"['F', 'S', 'D', 'L', 'K', 'J']",J,J,7,1
1,ind,"['F', 'S', 'D', 'L', 'K', 'J']",S,D,7,0
1,ind,"['F', 'S', 'D', 'L', 'K', 'J']",S,S,7,1
1,ind,"['F', 'S', 'D', 'L', 'K', 'J']",F,L,7,0
1,ind,"['F', 'S', 'D', 'L', 'K', 'J']",L,L,7,1
1,ind,"['F', 'S', 'D', 'L', 'K', 'J']",J,K,7,0
1,ind,"['F', 'S', 'D', 'L', 'K', 'J']",L,J,7,0
1,ind,"['F', 'S', 'D', 'L', 'K', 'J']",J,S,7,0
1,ind,"['F', 'S', 'D', 'L', 'K', 'J']",J,S,7,0
1,ind,"['F', 'S', 'D', 'L', 'K', 'J']",S,F,7,0
1,ind,"['F', 'S', 'D', 'L', 'K', 'J']",S,L,7,0
1,ind,"['F', 'S', 'D', 'L', 'K', 'J']",F,J,7,0
1,ind,"['F', 'S', 'D', 'L', 'K', 'J']",J,J,8,1
1,ind,"['F', 'S', 'D', 'L', 'K', 'J']",D,D,8,1
1,ind,"['F', 'S', 'D', 'L', 'K', 'J']",S,S,8,1
1,ind,"['F', 'S', 'D', 'L', 'K', 'J']",L,L,8,1
1,ind,"['F', 'S', 'D', 'L', 'K', 'J']",L,L,8,1
1,ind,"['F', 'S', 'D', 'L', 'K', 'J']",K,K,8,1
1,ind,"['F', 'S', 'D', 'L', 'K', 'J']",J,J,8,1
1,ind,"['F', 'S', 'D', 'L', 'K', 'J']",S,S,8,1
1,ind,"['F', 'S', 'D', 'L', 'K', 'J']",S,S,8,1
1,ind,"['F', 'S', 'D', 'L', 'K', 'J']",F,F,8,1
1,ind,"['F', 'S', 'D', 'L', 'K', 'J']",L,L,8,1
1,ind,"['F', 'S', 'D', 'L', 'K', 'J']",J,J,8,1
1,ind,"['F', 'S', 'D', 'L', 'K', 'J']",J,J,9,1
1,ind,"['F', 'S', 'D', 'L', 'K', 'J']",S,D,9,0
1,ind,"['F', 'S', 'D', 'L', 'K', 'J']",S,S,9,1
1,ind,"['F', 'S', 'D', 'L', 'K', 'J']",F,L,9,0
1,ind,"['F', 'S', 'D', 'L', 'K', 'J']",L,L,9,1
1,ind,"['F', 'S', 'D', 'L', 'K', 'J']",J,K,9,0
1,ind,"['F', 'S', 'D', 'L', 'K', 'J']",J,J,9,1
1,ind,"['F', 'S', 'D', 'L', 'K', 'J']",J,S,9,0
1,ind,"['F', 'S', 'D', 'L', 'K', 'J']",D,S,9,0
1,ind,"['F', 'S', 'D', 'L', 'K', 'J']",S,F,9,0
1,ind,"['F', 'S', 'D', 'L', 'K', 'J']",L,L,9,1
1,ind,"['F', 'S', 'D', 'L', 'K', 'J']",L,J,9,0
1,ind,"['F', 'S', 'D', 'L', 'K', 'J']",J,J,10,1
1,ind,"['F', 'S', 'D', 'L', 'K', 'J']",S,D,10,0
1,ind,"['F', 'S', 'D', 'L', 'K', 'J']",L,S,10,0
1,ind,"['F', 'S', 'D', 'L', 'K', 'J']",L,L,10,1
1,ind,"['F', 'S', 'D', 'L', 'K', 'J']",K,L,10,0
1,ind,"['F', 'S', 'D', 'L', 'K', 'J']",J,K,10,0
1,ind,"['F', 'S', 'D', 'L', 'K', 'J']",S,J,10,0
1,ind,"['F', 'S', 'D', 'L', 'K', 'J']",S,S,10,1
1,ind,"['F', 'S', 'D', 'L', 'K', 'J']",F,S,10,0
1,ind,"['F', 'S', 'D', 'L', 'K', 'J']",L,F,10,0
1,ind,"['F', 'S', 'D', 'L', 'K', 'J']",J,L,10,0
1,ind,"['F', 'S', 'D', 'L', 'K', 'J']",S,J,10,0
1,ind,"['F', 'S', 'D', 'L', 'K', 'J']",J,J,11,1
1,ind,"['F', 'S', 'D', 'L', 'K', 'J']",J,D,11,0
1,ind,"['F', 'S', 'D', 'L', 'K', 'J']",F,S,11,0
1,ind,"['F', 'S', 'D', 'L', 'K', 'J']",L,L,11,1
1,ind,"['F', 'S', 'D', 'L', 'K', 'J']",J,L,11,0
1,ind,"['F', 'S', 'D', 'L', 'K', 'J']",D,K,11,0
1,ind,"['F', 'S', 'D', 'L', 'K', 'J']",S,J,11,0
1,ind,"['F', 'S', 'D', 'L', 'K', 'J']",L,S,11,0
1,ind,"['F', 'S', 'D', 'L', 'K', 'J']",L,S,11,0
1,ind,"['F', 'S', 'D', 'L', 'K', 'J']",K,F,11,0
1,ind,"['F', 'S', 'D', 'L', 'K', 'J']",J,L,11,0
1,ind,"['F', 'S', 'D', 'L', 'K', 'J']",S,J,11,0
1,ind,"['F', 'S', 'D', 'L', 'K', 'J']",J,J,12,1
1,ind,"['F', 'S', 'D', 'L', 'K', 'J']",D,D,12,1
1,ind,"['F', 'S', 'D', 'L', 'K', 'J']",S,S,12,1
1,ind,"['F', 'S', 'D', 'L', 'K', 'J']",L,L,12,1
1,ind,"['F', 'S', 'D', 'L', 'K', 'J']",L,L,12,1
1,ind,"['F', 'S', 'D', 'L', 'K', 'J']",J,K,12,0
1,ind,"['F', 'S', 'D', 'L', 'K', 'J']",S,J,12,0
1,ind,"['F', 'S', 'D', 'L', 'K', 'J']",F,S,12,0
1,ind,"['F', 'S', 'D', 'L', 'K', 'J']",L,S,12,0
1,ind,"['F', 'S', 'D', 'L', 'K', 'J']",J,F,12,0
1,ind,"['F', 'S', 'D', 'L', 'K', 'J']",S,L,12,0
1,ind,"['F', 'S', 'D', 'L', 'K', 'J']",L,J,12,0
1,ind,"['F', 'S', 'D', 'L', 'K', 'J']",J,J,13,1
1,ind,"['F', 'S', 'D', 'L', 'K', 'J']",D,D,13,1
1,ind,"['F', 'S', 'D', 'L', 'K', 'J']",S,S,13,1
