blockcollect,ID,condition,correctcollect,p,trialcollect,recall_likelihood
train,1,ind,0.3333333333333333,0.0010931079107315618,1,4.375375182304919e-10
train,1,ind,0.6666666666666666,0.00013536400172867275,2,6.078768801064287e-10
train,1,ind,0.5,0.005509653100142065,3,4.5863180177297153e-10
train,1,ind,0.4166666666666667,3.6254262713746113e-07,4,7.967203925213008e-11
train,1,ind,0.5833333333333334,3.1737611140664704e-05,5,1.2010287148567842e-08
train,1,ind,0.75,1.592569356660108e-05,6,1.1039139644845833e-07
train,1,ind,0.3333333333333333,1.2171623759730768e-09,7,2.3796161491182684e-07
train,1,ind,0.3333333333333333,7.752869686986207e-08,8,7.986897121335755e-06
train,1,ind,0.8333333333333334,1.8525757644152517e-05,9,1.774170556360169e-05
train,1,ind,0.9166666666666666,2.8747317475908072e-05,10,0.00022031871781132508
train,1,ind,0.5833333333333334,4.848404782776952e-07,11,0.0003785746148142257
train,1,ind,1.0,0.0037243857652740136,12,0.0004665463703588733
train,1,ind,1.0,0.07115428265519082,13,0.0006642145191944394
train,1,ind,0.4166666666666667,0.0012085979779781022,14,0.0041940286721000326
train,1,ind,0.4166666666666667,0.0011595892966707716,15,0.006084943605095817
train,1,ind,0.3333333333333333,0.000768387645438316,16,0.008069205206562693
train,1,ind,1.0,0.14135568646210234,17,0.01013505267390787
train,1,ind,1.0,0.010078665594781495,18,0.01063030076714529
train,1,ind,1.0,0.07478684798278565,19,0.012715596395552541
train,1,ind,0.9166666666666666,0.0003301728115013674,20,0.014859609314806422
train,1,ind,1.0,0.15866765533938287,21,2.2665294319988042e-07
train,1,ind,1.0,0.08924894748844397,22,0.01599778681189073
train,1,ind,1.0,0.15830498257286585,23,0.018130670451734894
train,1,ind,1.0,0.16546026562883076,24,0.020302012452982077
train,1,ind,1.0,0.1723004490678257,25,0.022506204184956483
train,1,ind,1.0,0.10215695936544571,26,0.022739342506549527
train,1,ind,1.0,0.17328129265797562,27,0.02493075000701676
train,1,ind,0.75,0.00043540685511860407,28,0.027145009628597783
train,1,ind,0.3333333333333333,0.0015627455059550454,29,0.02937805844354173
train,1,ind,1.0,0.11357698944776201,30,0.02940466036252008
train,1,ind,0.9166666666666666,0.0012619864853775375,31,0.03161233849098559
train,1,ind,1.0,0.19334825185830892,32,0.03383209645676078
train,1,ind,1.0,0.10910310275276505,33,0.036060939222170525
train,1,ind,1.0,0.123741190977534,34,0.03588593038695521
train,1,ind,1.0,0.12208333031310044,35,0.03808250638077908
train,1,ind,1.0,0.20535353203149767,36,0.04028366233106839
train,1,ind,1.0,0.21130220259270688,37,0.04248715535913378
train,1,ind,0.4166666666666667,8.648674268717628e-05,38,0.04212030439513733
train,1,ind,1.0,0.21024862377641015,39,0.04428824447630431
train,1,ind,1.0,0.21629998138625378,40,2.6951228994501737e-12
test,1,m1,0.08333333333333333,0.001464044146922272,41,2.88767563197696e-14
test,1,m1,0.08333333333333333,0.001332834501296052,42,3.031177716178494e-08
test,1,m1,0.3333333333333333,0.0010696512483983338,43,1.0764995492109637e-11
test,1,m1,0.08333333333333333,0.007631719903667208,44,2.757552620788144e-13
test,1,m1,0.8333333333333334,0.004866340335666195,45,2.8521192771937898e-12
test,1,m1,0.25,8.65247465749952e-06,46,5.468611735054117e-13
test,1,m1,0.16666666666666666,0.009852638420538134,47,8.586513206096544e-11
test,1,m1,0.16666666666666666,0.004375479292252327,48,1.0593156545028234e-07
test,1,m1,0.5833333333333334,0.0425629213006441,49,2.597876873766192e-11
test,1,m1,0.5833333333333334,0.042075088231411976,50,2.8567087941061644e-10
test,1,m1,0.6666666666666666,0.04133108239052795,51,1.5286936313808805e-09
test,1,m1,0.25,1.2179856542798255e-06,52,1.7458386356809045e-10
test,1,m1,0.3333333333333333,3.53632578835693e-05,53,3.7285019015520915e-08
test,1,m1,0.25,0.0052389160764445076,54,2.805516484810974e-13
test,1,m1,0.75,0.04863197507988249,55,9.973142801280234e-12
test,1,m1,0.8333333333333334,0.00597919716580466,56,4.590124166958294e-10
test,1,m1,0.5833333333333334,0.04535670221810264,57,2.4433812911193005e-11
test,1,m1,0.25,0.0011432778012038204,58,2.176314297047722e-11
test,1,m1,0.3333333333333333,0.0010941773199498654,59,6.05159481531629e-11
test,1,m1,0.75,0.043765726263428846,60,1.0170884901090445e-07
test,1,m1,0.5833333333333334,0.05093424556748924,61,2.1462682197899977e-09
test,1,m1,0.08333333333333333,0.030948224753034288,62,4.1672393496829203e-07
test,1,m1,0.6666666666666666,0.057567976006164395,63,8.879899462667815e-07
test,1,m1,0.75,0.05587771055980153,64,3.0159262164024876e-08
train,2,m1,0.16666666666666666,0.0009973431204642687,1,1.157107321560652e-09
train,2,m1,0.4166666666666667,3.628673057344233e-05,2,1.7364057650224216e-09
train,2,m1,0.4166666666666667,0.00044598065748156833,3,9.876101571198489e-10
